
0it [00:00, ?it/s]
745it [00:00, 7444.38it/s]
2449it [00:00, 8956.45it/s]
4429it [00:00, 10715.41it/s]
6041it [00:00, 11905.23it/s]
7815it [00:00, 13205.86it/s]
9411it [00:00, 13918.99it/s]
11451it [00:00, 15382.30it/s]
13409it [00:00, 16437.89it/s]
15237it [00:00, 16935.24it/s]
16992it [00:01, 16538.88it/s]
18691it [00:01, 16135.84it/s]
20911it [00:01, 17566.02it/s]
22939it [00:01, 18294.58it/s]
24819it [00:01, 17906.10it/s]
26647it [00:01, 17943.09it/s]
28468it [00:01, 17958.63it/s]
30283it [00:01, 17512.42it/s]
32050it [00:01, 17269.54it/s]
33789it [00:01, 16569.59it/s]
35635it [00:02, 17083.70it/s]
37555it [00:02, 17665.13it/s]
39411it [00:02, 17919.75it/s]
41215it [00:02, 17093.71it/s]
43015it [00:02, 17351.24it/s]
44901it [00:02, 17768.63it/s]
46689it [00:02, 17631.66it/s]
48507it [00:02, 17786.37it/s]
50292it [00:02, 17091.75it/s]
52012it [00:03, 16691.16it/s]
53691it [00:03, 16692.19it/s]
55367it [00:03, 16056.82it/s]
56983it [00:03, 15766.63it/s]
58713it [00:03, 16184.68it/s]
60340it [00:03, 15768.65it/s]
62309it [00:03, 16762.89it/s]
64009it [00:03, 16541.15it/s]
65761it [00:03, 16819.95it/s]
67456it [00:03, 15917.00it/s]
69067it [00:04, 14743.85it/s]
70671it [00:04, 15107.82it/s]
72206it [00:04, 14867.32it/s]
73711it [00:04, 14517.30it/s]
75199it [00:04, 14624.10it/s]
76863it [00:04, 15170.93it/s]
78845it [00:04, 16317.91it/s]
80510it [00:04, 16123.73it/s]
82147it [00:04, 16127.78it/s]
83885it [00:05, 16481.74it/s]
85743it [00:05, 17057.51it/s]
87563it [00:05, 17366.74it/s]
89312it [00:05, 16457.96it/s]
90976it [00:05, 16119.58it/s]
92603it [00:05, 15132.33it/s]
94275it [00:05, 15572.32it/s]
95857it [00:05, 15645.07it/s]
97968it [00:05, 16962.43it/s]
99785it [00:05, 17300.65it/s]
101546it [00:06, 16772.26it/s]
103249it [00:06, 16285.11it/s]
105071it [00:06, 16809.35it/s]
106849it [00:06, 17086.53it/s]
108572it [00:06, 16155.47it/s]
110317it [00:06, 16522.52it/s]
111986it [00:06, 16149.21it/s]
113615it [00:06, 16055.01it/s]
115253it [00:06, 16146.85it/s]
116875it [00:07, 15280.41it/s]
118545it [00:07, 15673.20it/s]
120125it [00:07, 15519.26it/s]
121709it [00:07, 15604.91it/s]
123657it [00:07, 16594.80it/s]
125489it [00:07, 17076.50it/s]
127216it [00:07, 16033.52it/s]
128865it [00:07, 16162.83it/s]
130500it [00:07, 16054.82it/s]
132383it [00:07, 16795.95it/s]
134081it [00:08, 16062.14it/s]
135707it [00:08, 16012.51it/s]
137322it [00:08, 14896.85it/s]
138901it [00:08, 15150.13it/s]
140443it [00:08, 15229.63it/s]
141980it [00:08, 14954.29it/s]
143486it [00:08, 14353.90it/s]
145091it [00:08, 14820.43it/s]
146593it [00:08, 14873.70it/s]
148090it [00:09, 14477.27it/s]
149547it [00:09, 14470.59it/s]
151000it [00:09, 14439.52it/s]
152449it [00:09, 14094.63it/s]
154069it [00:09, 14664.44it/s]
155545it [00:09, 14113.25it/s]
157143it [00:09, 14617.49it/s]
158751it [00:09, 15021.25it/s]
160265it [00:09, 14039.62it/s]
161690it [00:10, 13980.88it/s]
163135it [00:10, 14113.87it/s]
164687it [00:10, 14504.51it/s]
166571it [00:10, 15570.69it/s]
168379it [00:10, 16246.75it/s]
170725it [00:10, 17892.53it/s]
172585it [00:10, 17511.63it/s]
174388it [00:10, 16111.01it/s]
176057it [00:10, 16116.39it/s]
177710it [00:10, 15840.89it/s]
179324it [00:11, 15122.18it/s]
180864it [00:11, 14593.73it/s]
182347it [00:11, 14499.60it/s]
183915it [00:11, 14831.42it/s]
185435it [00:11, 14935.50it/s]
187021it [00:11, 15200.93it/s]
188549it [00:11, 14864.64it/s]
190043it [00:11, 14489.38it/s]
191721it [00:11, 15107.26it/s]
193244it [00:12, 14822.50it/s]
194736it [00:12, 14581.56it/s]
196361it [00:12, 15032.83it/s]
197874it [00:12, 14234.34it/s]
199347it [00:12, 14373.15it/s]
200796it [00:12, 13718.71it/s]
202305it [00:12, 14100.29it/s]
203728it [00:12, 14019.01it/s]
205483it [00:12, 14915.00it/s]
207091it [00:12, 15237.95it/s]
